magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.975890104431562	0.0	0.0
-25.375	-5.975890104431562	0.0	0.0
-24.291666666666664	-5.975890104431562	0.0	0.0
-23.208333333333336	-5.975890104431562	0.0	0.0
-22.125	-5.975890104431562	0.0	0.0
-21.041666666666668	-5.975890104431562	0.0	0.0
-19.958333333333336	-4.271099161106785	3.092717213348092e-05	3.0
-18.875	-3.6020923801482096	6.68103277107051e-05	14.0
-17.791666666666668	-3.4057977350042417	8.375117805306203e-05	22.0
-16.708333333333336	-3.2297064759485603	0.00010257382579349154	33.0
-15.625	-3.256858721992175	9.941694902680113e-05	31.0
-14.541666666666668	-3.2710991611067852	9.780030552988876e-05	30.0
