magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.979425816936087	0.0	0.0
-23.82142857142857	-5.979425816936087	0.0	0.0
-23.035714285714285	-5.979425816936087	0.0	0.0
-22.25	-5.979425816936087	0.0	0.0
-21.464285714285715	-4.307692963383242	3.48170554201862e-05	2.0
-20.67857142857143	-3.494779606740386	8.876642249668542e-05	13.0
-19.892857142857142	-3.0405212349802277	0.00014975381778254557	37.0
-19.107142857142858	-3.0176583520207236	0.00015374795377038413	39.0
-18.321428571428573	-2.955510445271879	0.0001651517948221488	45.0
-17.535714285714285	-3.0405212349802277	0.00014975381778254557	37.0
-16.75	-2.945965127365649	0.00016697673193305493	46.0
-15.964285714285715	-2.8378709474050785	0.00018910501518971763	59.0
-15.178571428571429	-2.8378709474050785	0.00018910501518971763	59.0
-14.392857142857142	-2.8844470894464336	0.00017923176260224187	53.0
