magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.99604672081766	0.0	0.0
-25.375	-5.99604672081766	0.0	0.0
-24.291666666666664	-5.99604672081766	0.0	0.0
-23.208333333333336	-5.99604672081766	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-5.99604672081766	0.0	0.0
-19.958333333333336	-4.146160424498485	3.57116223130782e-05	4.0
-18.875	-3.706827730668223	5.922102593368211e-05	11.0
-17.791666666666668	-3.4057977350042417	8.375117805306203e-05	22.0
-16.708333333333336	-2.8789886960954716	0.00015360149547543798	74.0
-15.625	-2.845130428834504	0.0001597072301576823	80.0
-14.541666666666668	-2.611499848670041	0.00020899691124976974	137.0
