magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.988217016097612	0.0	0.0
-25.375	-5.988217016097612	0.0	0.0
-24.291666666666664	-5.988217016097612	0.0	0.0
-23.208333333333336	-5.988217016097612	0.0	0.0
-22.125	-5.988217016097612	0.0	0.0
-21.041666666666668	-4.447190420162467	2.5251930304750423e-05	2.0
-19.958333333333336	-3.903122375812191	4.724203577753508e-05	7.0
-18.875	-3.5177714944481737	7.362139542949296e-05	17.0
-17.791666666666668	-3.2710991611067852	9.780030552988876e-05	30.0
-16.708333333333336	-3.2710991611067852	9.780030552988876e-05	30.0
-15.625	-3.256858721992175	9.941694902680113e-05	31.0
-14.541666666666668	-2.955828726328194	0.00014059679764345684	62.0
