magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.975990292984425	0.0	0.0
-25.375	-5.975990292984425	0.0	0.0
-24.291666666666664	-5.975990292984425	0.0	0.0
-23.208333333333336	-5.975990292984425	0.0	0.0
-22.125	-5.975990292984425	0.0	0.0
-21.041666666666668	-5.975990292984425	0.0	0.0
-19.958333333333336	-5.975990292984425	0.0	0.0
-18.875	-4.271099161106785	3.092717213348092e-05	3.0
-17.791666666666668	-3.706827730668223	5.922102593368211e-05	11.0
-16.708333333333336	-3.368009174114842	8.747525255403194e-05	24.0
-15.625	-2.803737743676279	0.00016750235610612406	88.0
-14.541666666666668	-2.569243468533278	0.00021941588092195136	151.0
